# of concurrent sessions, frequency of occurence
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,2
60,2
61,1
62,1
63,1
64,2
65,1
66,2
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,2
75,1
76,1
77,1
78,3
79,2
80,1
81,1
82,1
83,4
84,3
85,1
86,1
87,2
88,2
89,2
90,1
91,3
92,2
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,2
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,2
115,3
116,4
117,1
118,1
119,4
120,1
121,1
122,1
123,1
124,2
125,3
126,6
127,4
128,4
129,3
130,7
131,2
132,1
133,1
134,2
135,4
136,2
137,3
138,3
139,2
140,1
141,1
142,1
143,1
144,2
145,1
146,2
147,1
148,2
149,1
150,1
151,1
152,1
153,4
154,5
155,4
156,3
157,6
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,4
170,5
171,6
172,2
173,1
174,3
175,5
176,1
177,1
178,2
179,1
180,1
181,2
182,1
183,1
184,1
185,1
186,1
187,2
188,1
189,1
190,2
191,2
192,2
193,8
194,5
195,5
196,5
197,2
198,3
199,2
200,2
201,2
202,1
203,1
204,1
205,4
206,5
207,1
208,1
209,2
210,4
211,2
212,3
213,3
214,1
215,1
216,1
217,1
218,1
219,1
220,2
221,5
222,4
223,3
224,4
225,9
226,10
227,13
228,11
229,10
230,14
231,25
232,24
233,17
234,24
235,15
236,14
237,11
238,12
239,8
240,4
241,3
242,11
243,5
244,2
245,3
246,2
247,2
248,2
249,2
250,2
251,3
252,5
253,9
254,9
255,3
256,3
257,3
258,5
259,6
260,9
261,9
262,12
263,16
264,25
265,20
266,17
267,15
268,16
269,8
270,12
271,19
272,31
273,24
274,26
275,25
276,32
277,24
278,9
279,8
280,7
281,5
282,3
283,5
284,3
285,1
286,1
287,2
288,2
289,1
290,1
291,3
292,3
293,3
294,3
295,1
296,1
297,2
298,3
299,2
300,5
301,6
302,11
303,20
304,20
305,10
306,13
307,16
308,21
309,28
310,34
311,29
312,23
313,20
314,23
315,19
316,16
317,23
318,30
319,48
320,46
321,42
322,39
323,47
324,56
325,71
326,88
327,70
328,78
329,73
330,76
331,84
332,98
333,89
334,75
335,81
336,80
337,95
338,131
339,129
340,131
341,120
342,105
343,94
344,71
345,91
346,98
347,98
348,96
349,85
350,74
351,89
352,103
353,144
354,179
355,210
356,218
357,202
358,220
359,223
360,218
361,217
362,199
363,165
364,156
365,140
366,168
367,170
368,159
369,182
370,192
371,142
372,148
373,132
374,112
375,92
376,94
377,100
378,99
379,83
380,57
381,44
382,55
383,49
384,51
385,62
386,66
387,61
388,51
389,35
390,24
391,18
392,14
393,13
394,16
395,15
396,20
397,21
398,21
399,22
400,13
401,8
402,7
403,13
404,16
405,9
406,9
407,7
408,5
409,3
410,3
411,3
412,2
413,1
414,1
415,3
416,2
