#Time of request completion (in ms after experiment start), Session ID, Time taken to open connection with server (ms), Time taken to receive first byte of reply (ms), Time taken to receive last byte of reply (ms), number of concurrent sessions in the system, size of response (bytes) 
3972.507,0,738.1,548.5,6.5,1,10972
5808.276,1,22.3,151.4,6.4,2,10972
6166.294,2,24.3,286.1,24.9,4,10972
6269.296,3,35.1,175.3,22.1,4,10972
6898.326,4,32.3,113.5,6.2,5,10972
8035.383,5,25.2,149.5,20.9,6,10972
8385.398,6,25.2,150.7,21.2,8,10972
8576.402,7,24.2,123.1,6.2,8,10972
9008.425,8,32.2,140.7,6.4,9,10972
10379.488,9,31.1,153.3,17.4,11,10972
10524.497,10,36.2,143.3,6.6,11,10972
11722.551,11,28.0,106.1,24.3,12,10972
12082.568,12,28.0,167.1,8.1,14,10972
12230.580,13,20.7,115.9,6.5,15,10972
12345.585,14,25.1,158.0,22.3,16,10972
12409.582,15,31.0,193.8,7.0,16,10972
13036.616,16,24.0,123.8,6.4,17,10972
13253.626,17,26.9,198.9,8.8,19,10972
13286.627,18,44.0,149.5,20.9,19,10972
16797.787,19,22.8,133.4,6.9,20,10972
18335.858,20,24.7,151.5,6.2,21,10972
19430.908,21,29.6,113.9,16.5,22,10972
20488.964,22,31.6,117.4,6.3,23,10972
21155.994,23,24.6,113.9,6.1,24,10972
22352.050,24,28.5,144.9,15.5,25,10972
22582.059,9,-1.0,114.8,0.0,27,1909
22560.057,25,20.5,150.4,6.8,27,10972
22682.065,26,40.6,105.3,6.5,27,10972
23143.083,27,27.3,130.7,6.2,28,10972
23336.096,28,24.5,182.5,6.7,29,10972
23189.091,8,-1.0,1112.3,0.0,29,785
24287.136,12,-1.0,542.4,6.8,29,11914
24956.172,29,24.4,112.7,6.6,30,10972
25731.206,7,-1.0,293.2,0.0,30,789
26274.232,30,26.4,117.7,6.2,31,10972
26576.245,31,34.3,116.5,6.6,33,10972
26647.251,32,43.4,110.0,6.4,33,10972
27502.287,18,-1.0,312.8,7.9,33,13739
28661.171,34,19.5,135.5,9.2,35,10972
28658.340,33,32.3,148.8,6.8,35,10972
29489.383,17,-1.0,180.9,12.4,35,11914
29642.388,15,-1.0,253.4,0.0,35,785
30378.420,35,32.1,119.8,6.2,36,10972
30729.442,36,31.1,103.8,6.6,37,10972
31390.469,37,20.1,115.9,6.8,38,10972
31610.478,38,30.1,120.1,6.5,39,10972
31826.494,39,24.1,105.8,6.7,40,10972
32328.516,40,32.0,126.7,23.8,41,10972
32375.522,13,-1.0,208.8,6.8,41,11914
32820.535,41,20.0,113.2,6.5,42,10972
35990.687,1,-1.0,179.7,6.9,42,11914
36561.714,42,28.8,120.9,6.5,43,10972
36839.727,43,30.8,101.3,6.8,44,10972
37192.741,16,-1.0,187.6,7.9,44,13739
37550.761,28,-1.0,248.6,0.0,44,789
37738.768,25,-1.0,195.0,17.4,44,13739
39302.843,8,-1.0,86.3,6.5,44,10866
39991.872,44,28.7,129.7,7.1,45,10972
39823.861,18,-1.0,379.0,0.0,45,2339
40425.892,30,-1.0,287.8,0.0,45,789
40541.903,24,-1.0,203.0,16.3,45,11914
41100.922,29,-1.0,75.4,0.0,46,1909
41102.924,45,37.8,125.5,24.7,46,10972
41364.940,46,25.7,127.5,6.8,47,10972
41308.934,27,-1.0,200.7,21.5,47,13739
42134.972,47,25.6,116.5,6.3,48,10972
43268.026,0,-1.0,59.3,0.0,48,1909
43838.053,12,-1.0,68.9,0.0,48,1909
43872.052,36,-1.0,186.3,7.6,48,13739
44302.077,23,-1.0,260.4,0.0,49,793
44502.081,48,38.5,119.6,7.2,49,10972
44735.092,31,-1.0,205.4,0.0,49,789
45538.129,35,-1.0,174.8,6.7,49,11914
45808.142,32,-1.0,182.1,7.6,49,13739
46285.164,49,35.4,130.3,7.1,50,10972
47233.212,5,-1.0,214.4,6.6,51,11914
47254.213,50,39.4,146.8,20.5,51,10972
47847.240,33,-1.0,169.9,6.7,51,11914
48252.260,51,28.3,113.1,6.8,52,10972
49396.310,52,24.2,113.6,6.8,53,10972
49646.321,22,-1.0,186.2,7.7,53,13739
49979.339,43,-1.0,214.2,7.7,53,13739
50768.374,38,-1.0,171.8,6.6,53,11914
50961.388,41,-1.0,179.9,19.8,53,11914
51952.430,25,-1.0,246.7,0.0,53,2508
52746.467,53,24.1,119.8,6.8,54,10972
53592.505,13,-1.0,81.2,0.0,54,1909
53593.507,21,-1.0,192.3,6.7,54,11914
54323.542,54,27.0,109.4,7.0,55,10972
54571.553,55,29.0,104.0,6.9,56,10972
54713.560,10,-1.0,243.1,0.0,56,785
55800.613,28,-1.0,87.3,14.8,57,10866
55857.611,56,24.1,132.5,7.9,57,10972
56203.633,18,-1.0,60.7,0.0,57,1909
56446.641,57,33.9,143.6,7.1,58,10972
56553.645,14,-1.0,290.7,16.8,58,11914
56512.649,40,-1.0,370.9,0.0,58,789
56698.650,9,-1.0,289.0,0.0,58,785
57720.698,35,-1.0,62.0,0.0,57,1909
57883.706,11,-1.0,178.7,7.6,57,13739
58719.755,42,-1.0,214.5,16.9,59,11914
58528.741,58,31.8,415.8,6.3,59,10972
58328.729,0,-1.0,742.1,0.0,59,1513
58884.754,59,35.9,173.2,17.3,58,10972
58714.753,30,-1.0,641.8,0.0,58,766
58563.739,23,-1.0,799.1,0.0,58,766
60178.814,1,-1.0,296.9,0.0,58,785
61769.893,60,30.7,108.1,7.0,59,10972
61941.900,31,-1.0,103.7,11.4,60,10866
61957.902,61,23.1,133.6,16.8,61,10972
62108.905,62,22.3,177.8,6.4,61,10972
62361.916,63,28.6,102.7,6.9,62,10972
62804.938,64,25.6,100.4,6.7,63,10972
63201.960,43,-1.0,273.6,0.0,63,2531
63158.957,44,-1.0,327.9,0.0,62,789
63825.989,65,34.6,115.5,7.2,63,10972
64025.001,33,-1.0,80.0,0.0,63,1909
63998.993,32,-1.0,243.5,0.0,63,2424
64533.016,27,-1.0,241.6,0.0,63,2633
66542.116,52,-1.0,76.0,0.0,64,1909
66492.113,66,28.4,137.6,22.8,64,10972
66841.125,22,-1.0,265.5,0.0,65,2662
67002.133,67,18.5,145.5,6.5,65,10972
67178.147,29,-1.0,190.0,0.0,65,789
67763.168,24,-1.0,60.7,0.0,64,1909
68088.185,68,22.4,131.6,6.9,66,10972
68136.185,69,30.4,132.0,7.2,66,10972
68586.209,6,-1.0,183.6,7.7,66,13739
69527.250,46,-1.0,186.7,6.7,66,11914
69632.257,57,-1.0,281.8,0.0,66,785
70712.305,55,-1.0,171.3,6.7,66,11914
71055.328,70,25.2,111.7,6.5,67,10972
72483.390,71,18.6,140.8,6.4,68,10972
72364.384,23,-1.0,975.6,5.1,68,9030
73459.437,49,-1.0,168.6,6.6,68,11914
73783.452,35,-1.0,153.4,10.7,69,13647
73948.457,38,-1.0,81.1,0.0,69,1909
73915.463,72,47.1,138.7,6.5,69,10972
74316.479,62,-1.0,206.6,17.9,69,11914
74357.479,30,-1.0,660.9,22.7,70,9027
74885.504,73,25.2,145.1,25.1,70,10972
75132.519,61,-1.0,104.3,0.0,70,1909
75024.384,56,-1.0,324.6,0.0,70,785
76441.574,74,29.0,150.0,6.9,71,10972
76938.597,64,-1.0,231.1,0.0,71,789
77952.648,42,-1.0,67.2,0.0,71,1909
